CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11000,MR.,JON,YANG,1966-08-04,M,M,jon24@learnsector.com,90000,2,Bachelors,Professional,Y
11001,MR.,EUGENE,HUANG,1965-05-14,S,M,eugene10@learnsector.com,60000,3,Bachelors,Professional,N
11002,MR.,RUBEN,TORRES,1965-12-08,M,M,ruben35@learnsector.com,60000,3,Bachelors,Professional,Y
11003,MS.,CHRISTY,ZHU,1968-02-15,S,F,christy12@learnsector.com,70000,0,Bachelors,Professional,N
11004,MRS.,ELIZABETH,JOHNSON,1968-08-08,S,F,elizabeth5@learnsector.com,80000,5,Bachelors,Professional,Y
11005,MR.,JULIO,RUIZ,1965-05-08,S,M,julio1@learnsector.com,70000,0,Bachelors,Professional,Y
11007,MR.,MARCO,MEHTA,1964-09-05,M,M,marco14@learnsector.com,60000,3,Bachelors,Professional,Y
11008,MRS.,ROBIN,VERHOFF,1964-07-07,S,F,rob4@learnsector.com,60000,4,Bachelors,Professional,Y
11009,MR.,SHANNON,CARLSON,1964-01-04,S,M,shannon38@learnsector.com,70000,0,Bachelors,Professional,N
11010,MS.,JACQUELYN,SUAREZ,1964-06-02,S,F,jacquelyn20@learnsector.com,70000,0,Bachelors,Professional,N
11011,MR.,CURTIS,LU,1963-04-11,M,M,curtis9@learnsector.com,60000,4,Bachelors,Professional,Y
11012,MRS.,LAUREN,WALKER,1968-01-18,M,F,lauren41@learnsector.com,100000,2,Bachelors,Management,Y
11013,MR.,IAN,JENKINS,1968-06-08,M,M,ian47@learnsector.com,100000,2,Bachelors,Management,Y
11014,MRS.,SYDNEY,BENNETT,1968-09-05,S,F,sydney23@learnsector.com,100000,3,Bachelors,Management,N
11015,MS.,CHLOE,YOUNG,1979-02-27,S,F,chloe23@learnsector.com,30000,0,Partial College,Skilled Manual,N
